Board,Grade,Subject,Chapter,Topic,Type,Difficulty,Marks,QuestionText_EN,QuestionText_UR,OptionA_EN,OptionB_EN,OptionC_EN,OptionD_EN,OptionA_UR,OptionB_UR,OptionC_UR,OptionD_UR,CorrectAnswer,Sources,ImageURL
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","What happens when blood glucose levels rise?","کیا ہوتا ہے جب خون میں گلوکوز کی سطح بڑھ جاتی ہے؟","Insulin is released","Glucagon is released","Adrenaline is released","Thyroxine is released","انسولین خارج ہوتی ہے","گلوکاگون خارج ہوتا ہے","ایڈینالین خارج ہوتا ہے","تھائی راکس خارج ہوتا ہے","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","What system regulates heart rate?","کونسا نظام دل کی دھڑکن کو کنٹرول کرتا ہے:","Nervous system","Circulatory system","Respiratory system","Digestive system","نروس سسٹم","سرکولیٹری سسٹم","ریسپائٹری سسٹم","ڈائی جسٹو سسٹم","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","The body's ability to maintain a stable internal environment despite the changes in the external environment:","بیرونی ماحول میں تبدیلیوں کے باوجود جسم کے مستحکم اور متوازن اندرونی ماحول کو برقرار رکھنے کی صلاحیت کو کہتے ہیں:","Metabolism","Homeostasis","Diffusion","Osmosis","میٹابولزم","ہومیوسیٹس","ڈیفیوژن","اوسموسس","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","When the temperature of body rises, the temperature regulating center sends message to:","جب جسم کا درجہ حرارت بڑھتا ہےتو درجہ حرارت کو کنٹرول کرنے والا مرکز پیغام بھیجتا ہے:","Muscle","Sweat glands","Liver","Pancreatic gland","مسل کو","پسینے کے غدود کو","جگر کو","لبلب کے غدود کو","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","While doing hard exercise, our muscles need more oxygen. For this, the rate of respiration:","سخت ورزش کرتے وقت ہمارے مسلز کو زیادہ آکسیجن کی ضرورت ہوتی ہے، تو ریسپریشن کا ریٹ ہوتا ہے:","Increase","Decrease","Remain normal","Both A and C","بڑھتی ہے","کم ہوتی ہے","نارمل رہے گی","Bاور C دونوں","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","When blood glucose level increases, which hormone is released to maintain the blood glucose level:","جب خون میں گلوکوز کی سطح بڑھ جاتی ہے تو خون میں گلوکوز کی سطح کوبرقرار رکھنے کے لیے کونسا ہارمون خارج ہوتا ہے:","Glucagon","Insulin","Oxytocin","Thyroxin","گلوکاگون","انسولین","آکسی ٹوسن","تھائی راکسن","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","Which of the following system regulates pH levels and body temperature:","مندرجہ ذیل میں سےکونسا سسٹم پی ایچ اور جسم کے درجہ حرارت کو کنٹرول کرتا ہے:","Nervous system","Respiratory system","Cardiovascular system","Digestive system","نروس سسٹم","ریسپائٹری سسٹم","کارڈیوویسکولر سسٹم","ڈائی جسٹو سسٹم","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","Digestive system works for:","ڈائی جسٹو سسٹم کام کرتا ہے:","Maintenance of body posture","Metabolism","Gaseous exchange","Proper distribution of nutrients","جسم کی پوزیشن کو برقرار رکھنا","میٹابولزم","گیسوں کا تبادلہ","غذائی اجزاء کی مناسب تقسیم","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","Which system helps to regulate temperature through sweating:","کونسا سسٹم پسینے کے لیے درجہ حرارت کو کنٹرول کرتا ہے:","Integumentary system","Nervous system","Cardiovascular system","Excretory system","ایٹیگومیٹری سسٹم","نروس سسٹم","کارڈیوویسکولر سسٹم","ایکسکریڈی سسٹم","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","Urinary system involves in maintenance of:","یورینری سسٹم برقرار رکھنے میں شامل ہے:","Blood volume","Blood pressure","pH level","All of the above","خون کے حجم کو","بلڈپریشر کو","پی ایچ کی سطح کی","مندرجہ بالا تمام","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","The system involves in movement and support:","سہارے اور نقل وحرکت میں شامل سسٹم ہے:","Cardiovascular system","Muscular and skeletal system","Nervous system","Integumentary system","کارڈیوویسکولر سسٹم","مسکولر اور سکیلٹل سسٹم","نروس سسٹم دل کی دھڑکن","ایٹیگومنٹری","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","Respiratory system expels excess ...... from the body:","ریسپائریٹری سسٹم جسم سے ......کو زائد مقدار میں خارج کرتا ہے","Oxygen","Nitrogen","Carbon dioxide","Water vapours","آکسیجن","نائٹروجن","کاربن ڈائی آکسائڈ","پانی کے بخارات","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","Which of the following statement best describes homeostasis?","مندرجہ ذیل میں سے کونسا بیا ن ہومیوسیٹس کو بہترین بیان کرتا ہے؟","Keeping the body in a fixed and unaltered state","Dynamic equilibrium","Maintaining a near-constant internal environment","Altering the external environment to accommodate the body's needs","جسم کو مستقل اور غیر تبدیل شدہ حالت میں رکھتا","متحرک خوراک","تقریباً مستقل اندرونی ماحول کو برقرار رکھنا","جسم کی ضرورت کے لیے بیرونی ماحول کو تبدیل کرنا","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 5","5.4 HOMEOSTASIS","MCQ","Medium","1","Organisms have the ability to change and modify their internal conditions according to the environment through:","جاندار ماحول کو مطابق اپنے اندرونی حالات جو بدلتے ہیں اور بدلنے کی صلاحیت رکھتے ہیں:","Osmoregulation","Excretion","Thermoregulation","All of above","اوسموریگولیشن","ایکسکریشن","تھرموریگولیشن","اوپر کے تمام","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","What is the primary function of carbohydrates?","کاربوہائیڈریٹ کا بنیادی کام کیا ہے؟","Provide energy","Act as enzymes","Regulate processes","Make membranes","تونائی فراہم کرتے ہیں","اینزائم کے طور پر کام کرتے ہیں","اعمال کو منظم کرتے ہیں","ممبرنیز بناتے ہیں","A","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Which biomolecule is responsible for carrying genetic information?","جینیاتی معلومات کو لے جانے کے لیے کون سا بائیو مالیکیول ذمہ دار ہے۔","Protein","Carbohydrate","Lipid","Nucleic acid","پروٹین","کاربوہائیڈیٹ","لپڈ","نیو کلیک ایسڈ","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","What is the main function of carbohydrates?","کاربوہائیڈیٹس کا اہم کام کیا ہے؟","To provide structural support","To act as energy storage molecules","To synthesize proteins","To regulate cellular traffic","ساختی مدد فراہم کرنا","انرجی ذخیرہ کرنے والے مالیکیولز کے طور پر عمل کرنا","پروٹینز تیار کرنا","سیلولر ٹریفک کو ریگولیٹ کرنا","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Where are proteins found in the cell?","سیل میں پروٹینز کہاں پائی جاتی ہیں؟","Only in the cell membrane","In the cytoplasm","In the cell membrane","both B & C","صرف سیل ممبرین میں","سائٹو پلازم میں","سیل ممبرین میں","دونوں Bاور C","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Which biomolecule acts as a heat insulator?","کونسا بائیو مالیکیول ہیٹ انسولیٹر کا کام کرتا ہے؟","Carbohydrate","Protein","Lipid","Nucleic acid","کاربوہائیڈیٹ","پروٹین","لپڈ","نیوکلیک ایسڈ","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Which biomolecule is responsible for synthesizing proteins?","پروٹین کی تیاری کے لیے کونسا بایئو مالیکیول ذمہ دار ہے؟","RNA","DNA","Protein","Carbohydrate","آر-این-اے","ڈی-این-اے","پروٹین","کاربوہائیڈیٹ","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","What is the percentage of lipids in the dry mass of protoplasm?","پروٹو پلازم کی خشک کمیت میں لپڈز کی کیا فیصد مقدار ہے؟","5%","10%","15%","20%","","","","","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Which biomolecule provides structural support to the cell?","کونسا بائیو مالیکیول سیل کو ساختی مدد فراہم کرتا ہے؟","Carbohydrate","Protein","Lipid","Nucleic acid","کاربوہائیڈیٹ","پروٹین","لپڈ","نیوکلیک ایسڈ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","What is the function of the Golgi apparatus in the cell?","سیل میں گالجی اپریٹس کیا کام ہے؟","To synthesize proteins","To provide energy to the cell","To regulate cellular traffic","To modify and package proteins","پروٹینز تیار کرنا","سیل کو انرجی فراہم کرنا","سیلولر ٹریفک کو ریگولیٹ کرنا","پروٹینز میں تبدیلی کرنا اور پیک کرنا","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Which biomolecule is responsible for regulating cellular traffic?","سیلولر ٹریفک کو ریگولیٹ کرنے کے لیے کونسا بائیو مالیکول ذمہ دار ہے؟","Protein","Carbohydrate","Lipid","Nucleic acid","پروٹین","کاربوہائیڈیٹ","لپڈ","نیوکلیک ایسڈ","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Where is DNA located in eukaryotic cells?","یوکیریوٹک سیلز میں DNA کہاں پایا جاتا ہے؟","Cytoplasm","Nucleus","Mitochondria","chloroplast","سائٹو پلازم","نیوکلیس","مائٹوکانڈریا","کلوروپلاسٹ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Biomolecules make the dry mass of living organisms:","جانداروں کی خشک کمیت کا بائیومالیکیولز بناتے ہیں:","73%","53%","93%","43%","","","","","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","Al chemical reactions that occurs in an organism are collectively called:","وہ تمام کیمیائی عوامل جو کسی جاندار میں انجام پاتے ہیں، اجتماعی طور پر کہلاتے ہیں:","Metabolism","Catabolism","Anabolism","None of these","میٹابولزم","کیٹابولزم","اینابولزم","ان میں سے کوئی نہیں","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.1 BIOMOLECULES","MCQ","Medium","1","The process in which complex molecules are formed from smaller molecules:","وہ عمل جس سے سادہ مادوں سے پیچیدہ مادہ بنتے ہیں کہلاتا ہے:","Catabolism","Metabolism","Anabolism","Respiration","کیٹابولزم","میٹابولزم","اینابولزم","ریسپائریشن","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","How will you differentiate between monosaccharides and polysaccharides?","مونو سکرائڈز اور پولی سیکرائڈز کے درمیان کیا فرق ہے؟","Monosaccharides are single sugars","Polysaccharides are sweet in taste","Monosaccharides are present in plant cell wall","Polysaccharides dissolve easily","مونو سکرائڈز سنگل شوگر پر مشتمل ہوتا ہے","پولی سیکرائڈز ذائقے میں میٹھے ہوتے ہیں","مونو سیکرائڈز پودوں کی سیل والز میں موجود ہیں","پولی سیکرائڈز آسانی سے حل ہوجاتے ہیں","A","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","What is true about cellulose?","سیلولوز کے بارے میں کیا سچ ہے؟","It is sweet in taste","It is digestible by human digestive system","It provides structural support in plants","It is soluble in water","یہ ذائقہ میں میٹھا ہے","یہ انسان کی ڈائی جسٹو سسٹم میں ہضم ہوجاتا ہے","یہ پودوں میں ساختی سہارا فراہم کرتا ہے","یہ پانی میں حل پذیر ہے","C","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","What does the term ""carbohydrate"" mean?","اصطلاح کاربوہائیڈیٹ کا کیا مطلب ہے؟","Hydrated proteins","Hydrated carbons","Hydrated lipids","Hydrated nucleic acids","ہائیڈریٹڈپروٹینز","ہائیڈریٹڈ کاربنز","ہائیڈریٹڈ لپڈز","ہائیڈریٹڈ نیوکلیک ایسڈ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","What is the general formula for carbohydrates?","کاربوہائیڈیٹس کا جنرل فارمولہ کیا ہے؟","","","","","","","","","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Which class of carbohydrates includes glucose, fructose, and galactose?","کاربوہائیڈیٹس کی کون سی قسم میں گلوکوز،فرکٹوز اور گلیکٹوز شامل ہیں؟","Monosaccharides","Disaccharides","Polysaccharides","Amino acids","مونوسکرائڈز","ڈائی سکرائڈز","پولی سکرائڈز","ایمانیوایسڈ","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","What is sucrose composed of?","سکروز کس چیز پر مشتمل ہے؟","Two glucose molecules","Two fructose molecules","Glucose and fructose molecules","Galactose and lactose molecules","دو گلوکوز مالیکیولز","دو فریکٹوز مالیکیولز","گلوکوز اور فرکٹوز مالیکیولز","گلیکٹوز اور لیکٹوز مالیکیولز","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Which polysaccharide is found in the cell walls of plants?","پودوں کی سیل والز میں کونسا پولی سکرائڈز پایا جاتا ہے؟","Starch","Glycogen","Cellulose","Chitin","سٹارچ","گلائیکوجن","سیلولوز","کائٹن","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","What is the primary source of energy for cells?","سیلزکےلیےانرجی کا بنیادی ذریعہ کیا ہے۔","Carbohydrates","Proteins","Lipids","Nucleic acids","کاربوہائیڈیٹس","پروٹینز","لپڈز","نیوکلیک ایسڈ","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Which carbohydrate is found in the exoskeleton of insects?","کیڑے مکوڑوں کے ایکسوسکیلیٹن میں کونسا کاربوہائڈیٹ پایا جاتا ہے؟","Chitin","Cellulose","Starch","Glycogen","کائٹن","سیلولوز","سٹارچ","گلائیکوجن","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","What is the function of dietary fibre?","ڈائڑی فائبرکا کیا کام ہے؟","To provide energy to cells","To maintain proper bowel movements","To synthesize proteins","To regulate cellular traffic","سیلز کو انرجی مہیا کرنا","آئرن کی مناسب حرکت کو برقرار رکھنا","پروٹینز کی تیاری کرنا","سیلولر ٹریفک کو ریگولیٹ کرنا","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Which monosaccharide is an essential part of DNA?","کونسا مونوسکرائڈ ڈی این اے کا لازمی حصّہ ہے؟","Ribose","Deoxyribose","Glucose","Fructose","رائبوز","ڈائی آکسی رائبوز","گلوکوز","فریکٹوز","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Which carbohydrate is stored in the liver and muscles of animals?","کونسا کاربوہائڈیٹ جانوروں کے جگر اور پھٹوں میں ذخیرہ ہوتا ہے؟","Starch","Glycogen","Cellulose","Chitin","سٹارچ","گلائیکوجن","سیلولوز","کائٹن","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Which of the disaccharide is also called transport sugar?","کونسے ڈائی سکرائڈ کو شوگر ٹرانسپورٹ بھی کہا جاتا ہے؟","Sucrose","Maltose","Fructose","Lactose","سکروز","مالٹوز","فریکٹوز","لیکٹوز","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Which is not a function of carbohydrates?","کاربوہائیڈیٹس کا کونسا فعل نہیں ہے؟","Providing energy","Serving as building blocks for complex carbohydrates","Forming the primary structure of cell membranes","Breaking down into glucose","انرجی فراہم کرنا","پیچیدہ کاربوہائیڈیٹ کے لیے بلڈنگ بلاکس کے طور پر کام کرنا","سیل ممبرینز کی بنیادی ساخت بنانا","گلوکوز میں توڑنا","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","%age of carbohydrates in dry mass of protoplasm:","پروٹوپلازم کی خشک کمیت میں کاربوہائڈیٹس کی %ہے؟","93","7","15","50","","","","","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Most abundant carbohydrate is:","سب سے زیادہ پائے جانے والا کاربوہائیڈیٹ ہے۔","Glucose","Starch","Cellulose","Chitin","گلوکوز","سٹارچ","سیلولوز","کائٹن","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Meaning of saccharides is:","""سکرائڈز"" سے مراد ہے:","Sugar","Fruits","Salts","Minerals","شوگر","پھل","نمک","معدنیات","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","How many classes of carbohydrates are?","کاربوہائیڈریٹس کی کتنی اقسام ہوتی ہیں؟","2","3","4","5","","","","","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.2 CARBOHYDRATES","MCQ","Medium","1","Sucrose found in?","سکروز کہاں پایا جاتا ہے؟","Wheat","Maiz","Rice","Fruit","گندم","مکئی","چاول","پھل","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Which of the following proteins is involved in oxygen transport?","مندرجہ ذیل میں سے کون سی پروٹین آکسیجن کی نقل و حمل میں شامل ہے؟","Insulin","Hemoglobin","Collagen","Keratin","انسولین","ہیموگلوبن","کولیجن","کیراٹین","B","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Which component of an amino acid determines its unique properties?","امینو ایسڈ کا کون سا جزو اس کی منفرد خصوصیات کا ذمہ دار ہے؟","Amino group","Carboxyl group","R group (side group)","Hydrogen group","امینوگروپ","کاربوکسل گروپ","R گروپ","ہائیڈروجن گروپ","C","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Which proteins are involved in defence against pathogens?","پیتھوجینز کے خلاف دفاع کرنے میں کون سی پروٹینز شامل ہیں؟","Antibodies","Myosin","Fibrinogen","Haemoglobin","اینٹی باڈیز","مائیوسن","فبرینوجن","ہیموگلوبن","A","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Which of the following is NOT a function of proteins?","درج ذیل میں سے کون سا فعل پروٹینز سر انجام نہیں دیتیں؟","Transport oxygen in the blood","Carry genetic information","Help in digesting food","Fight against pathogens","خون میں آکسیجن ٹرانسپورٹ کرنا","وراثتی معلومات رکھنا","خوراک کی ڈائی جشن میں مدد کرنا","پیتھو جنزکے خلاف لڑنا","B","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","What are proteins defined as?","پروٹینز کی تعریف ہے؟","Polymers of carbohydrates","Polymers of amino acids","Polymers of lipids","Polymers of nucleic acids","کاربوہائڈیٹس کےپولیمرز","ایمائنو ایسڈ کے پولیمرز","لپڈز کے پولیمرز","نیوکلیک ایسڈ کے پولیمرز","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","What is the building block of proteins?","پروٹینز کا بلڈنگ بلاک کیا ہے؟","Amino acids","Carbohydrates","Lipids","Nucleic acids","ایمائنو ایسڈ","کاربوہائڈریٹس","لپڈز","نیوکلیک ایسڈ","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","How many amino acids participate in making most proteins?","زیادہ تر پروٹینز بنانے میں کتنے ایمائنوایسڈحصّہ لیتے ہیں؟","10","20","50","100","","","","","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Which protein transports oxygen in the blood?","کونسی پروٹین خون میں آکسیجن پہنچاتی ہے؟","Fibrin","Collagen","Keratin","Haemoglobin","فبرن","کولجن","کیرائین","ہیموگلوبن","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Which of the following is a good source of protein?","مندرجہ ذیل میں سے کونسا پروٹین کا اچھا ذریعہ ہے؟","Pulses and beans","Fruits and vegetables","Carbohydrates and lipids","Nucleic acids","دالیں اور پھلیاں","پھل اور سبزیاں","کاربوہائیڈیٹس اور لپڈز","نیوکلیک ایسڈ","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","What is the main component of cell membranes?","سیل ممبرین کا بنیادی حصّہ کیا ہے؟","Carbohydrates","Proteins","Lipids","Nucleic acids","کاربوہائڈیٹس","پروٹینز","لپڈز","نیوکلیک ایسڈ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Which amino acid has the simplest R group?","کونسا ایمائنوایسڈسب سے سادہ​​​​​​​ Rگروپ رکھتا ہے؟","Alanine","Glycine","Serine","Threonine","ایلانین","گلائین","سڑین","تھریونین","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","What is the function of collagen protein?","کولیجن پروٹین کا کام کیا ہے؟","To transport oxygen","To provide structural support","To catalyze biochemical reactions","To regulate body processes","آکسیجن کو ٹرانسپورٹ کرنا","ساختی سہارا مہیا کرنا","بائیو کیمیکل ری ایکشنزکوکیٹالائزکرنا","جسم کے عمل کو منظم کرنا","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Different amino acids differ from each other on the basis of their ...... group:","مختلف ایمائنوایسڈ ان کے......گروپ کی بنیاد پر ایک دوسرے سے مختلف ہیں؟","Alkyl","Carboxylic","Amino","Phosphate","الکائل","کاربوکسلک","ایمائنو","فاسفیٹ","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","%age of the protein in dry mass of protoplasm:","پروٹوپلازم کی خشک کیمت میں پروٹین کی %ہے؟","18","15","50","10","","","","","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Types of amino acids make proteins:","ایمائنو ایسڈ کی اقسام جو پروٹینز بناتی ہیں؟","170","20","40","57","","","","","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Proteins present in the muscle cells:","مسل سیلز میں موجودپروٹینز:","Fibrin","Actin","Myosin","B and C both","فبرن","ایکٹن","مایوسن","BاورC دونوں","D","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Most abundant biomolecule in the cell is:","سیل میں وافر مقدار میں بائیو مالیکیول ہے:","Carbohydrates","Proteins","Lipids","Nucleic acids","کاربوہائیڈیٹس","پروٹینز","لپڈز","نیو کلیک ایسڈ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Amino acid present in insuline:","انسولین میں ایمائنوایسڈ:","574","95","51","47","","","","","C","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","Total number of amino acids that accurs in the body of organisms:","جانداروں کے جسم میں پائے جانے والے کل امائنوایسڈزکی تعداد:","150","170","190","200","","","","","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.3 PROTEINS","MCQ","Medium","1","How many amino acids makes a haemoglobin protein molecule?","ہیموگلوبن پروٹین مالیکیول میں کتنے امائنوایسڈز ہوتے ہیں؟","500","574","750","550","","","","","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.4 LIPIDS","MCQ","Medium","1","Which of the following are the units of most lipids?","زیادہ تر لپڈز کی اکائیاں کون سی ہیں؟","Amino acids","Fatty acids and glycerol","Nucleotides","Simple sugars","امینو ایسڈز","فیٹی ایسڈ اور گلیسرول","نیوکلوٹائڈز","سادہ شوگر","B","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.4 LIPIDS","MCQ","Medium","1","How do unsaturated fatty acids differ from saturated fatty acids?","ان سیچوریٹڈ فیٹی ایسڈز کس طرح سیچوریٹڈ فیٹی ایسڈ سے مختلف ہیں؟","They have more hydrogen atoms","They contain double bonds in their hydrocarbon chains","They are solid at room temperature","They are found only in animal fats","ان کے پاس زیادہ ہائڈروجن ایٹم ہیں","ان کی ہائڈروکاربن زنجیر میں ڈبل بانڈ ہوتےہیں","کمرے کے درجہ حرارت پر یہ ٹھوس ہوتے ہیں","یہ صرف جانوروں کی چربی میں پائے جاتے ہیں","B","Exercise",""
"Punjab Board","Class 9","Biology","Chapter 6","6.4 LIPIDS","MCQ","Medium","1","What are lipids composed of?","لپڈز کس پر مشتمل ہیں؟","Glycerol and proteins","Glycerol and fatty acids","Glycerol and carbohydrates","Glycerol and nucleic acids","گلیسرول اور پروٹینز","گلیسرول اور فیٹی ایسڈ","گلیسرول اور کاربوہائیڈیٹس","گلیسرول اور نیوکلیک ایسڈ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.4 LIPIDS","MCQ","Medium","1","What type of fatty acid is solid at room temperature?","کمرے کے درجہ حرارت پر کس قسم کا فیٹی ایسڈ ٹھوس ہوتا ہے؟","Unsaturated","Saturated","Monounsaturated","Polyunsaturated","ان سیچوریٹڈ","سیچوریٹڈ","مونوان سیچوریٹڈ","پولی ان سیچوریٹڈ","B","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.4 LIPIDS","MCQ","Medium","1","What is the function of lipids in the body?","جسم میں لپڈز کا کیا کام ہے؟","To provide energy","To synthesize proteins","To regulate body temperature","To break down carbohydrates","انرجی مہیا کرنا پر","پروٹینز تیار کرنا","جسم کے درجہ حرارت کو منظم کرنا","کاربوہائڈئٹس کو توڑنا","A","Additional",""
"Punjab Board","Class 9","Biology","Chapter 6","6.4 LIPIDS","MCQ","Medium","1","Which lipid helps in the synthesis of hormones?","کونسا لپڈ ہارمونزکی تیاری میں مدد کرتاہے؟","Cholesterol","Glycerol","Fatty acids","Phospholipids","کولسٹرول","گلسرول","فیٹی ایسڈ","فاسفو لپڈز","A","Additional",""
